altitude,distance,enhanced_altitude,enhanced_speed,heart_rate,position_lat,position_long,speed,timestamp
,0.0,,,123,,,,2019-06-23 12:11:40
232.0,0.0,232.0,0.009,,551294055,-889826368,0.009,2019-06-23 12:11:40
231.79999999999995,0.21,231.79999999999995,0.215,,551294046,-889826337,0.215,2019-06-23 12:11:41
231.79999999999995,0.35,231.79999999999995,0.136,,551294039,-889826319,0.136,2019-06-23 12:11:42
231.79999999999995,0.46,231.79999999999995,0.116,,551294030,-889826306,0.116,2019-06-23 12:11:43
231.79999999999995,0.81,231.79999999999995,0.345,,551294002,-889826270,0.345,2019-06-23 12:11:44
231.79999999999995,2.17,231.79999999999995,1.365,,551293904,-889826113,1.365,2019-06-23 12:11:45
231.79999999999995,3.88,231.79999999999995,1.706,,551293764,-889825943,1.706,2019-06-23 12:11:46
231.60000000000002,6.28,231.60000000000002,2.396,,551293553,-889825730,2.396,2019-06-23 12:11:47
231.60000000000002,8.99,231.60000000000002,2.716,123,551293308,-889825501,2.716,2019-06-23 12:11:48
231.79999999999995,12.86,231.79999999999995,3.87,123,551293001,-889825097,3.87,2019-06-23 12:11:49
232.0,18.02,232.0,5.153,123,551292534,-889824669,5.153,2019-06-23 12:11:50
232.20000000000005,23.04,232.20000000000005,5.021,123,551292060,-889824298,5.021,2019-06-23 12:11:51
232.20000000000005,28.08,232.20000000000005,5.043,123,551291559,-889824001,5.043,2019-06-23 12:11:52
232.79999999999995,34.11,232.79999999999995,6.027,123,551290945,-889823703,6.027,2019-06-23 12:11:53
232.79999999999995,39.94,232.79999999999995,5.826,123,551290352,-889823412,5.826,2019-06-23 12:11:54
233.0,47.66,233.0,7.719,123,551289596,-889822922,7.719,2019-06-23 12:11:55
233.60000000000002,54.9,233.60000000000002,7.246,124,551288834,-889822686,7.246,2019-06-23 12:11:56
233.39999999999998,62.19,233.39999999999998,7.285,124,551288077,-889822402,7.285,2019-06-23 12:11:57
233.39999999999998,69.38,233.39999999999998,7.192,124,551287335,-889822091,7.192,2019-06-23 12:11:58
233.60000000000002,76.64,233.60000000000002,7.255,124,551286582,-889821799,7.255,2019-06-23 12:11:59
